split_seed,bin_width,full_sex_by_age_support,unsupported_age_bin_starts,ipw_estimable_under_frozen_protocol
3658676649,5,False,95,False
3658676649,10,False,90,False
768519171,5,False,90,False
768519171,10,False,90,False
113462462,5,True,,True
113462462,10,True,,True
2748406118,5,True,,True
2748406118,10,True,,True
1569714665,5,True,,True
1569714665,10,True,,True
2006902500,5,True,,True
2006902500,10,True,,True
342858866,5,True,,True
342858866,10,True,,True
1591287646,5,True,,True
1591287646,10,True,,True
2763601433,5,True,,True
2763601433,10,True,,True
1524358342,5,True,,True
1524358342,10,True,,True
