dataset,backbone,condition,split_seed,finding,subgroup,metric,value
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:female,fnr,0.23737916219119226
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:male,fnr,0.23695976154992549
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex_gap:female-minus-male,fnr,0.0004194006412667761
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:female,fnr,0.18586387434554974
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:male,fnr,0.20297951582867785
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex_gap:female-minus-male,fnr,-0.017115641483128108
NIH,densenet121-res224-all,condition_1_original,3658676649,Infiltration,sex:female,fnr,0.46075494307968845
NIH,densenet121-res224-all,condition_1_original,3658676649,Infiltration,sex:male,fnr,0.4138211382113821
NIH,densenet121-res224-all,condition_1_original,3658676649,Infiltration,sex_gap:female-minus-male,fnr,0.04693380486830634
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumothorax,sex:female,fnr,0.26157407407407407
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumothorax,sex:male,fnr,0.15458015267175573
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumothorax,sex_gap:female-minus-male,fnr,0.10699392140231834
NIH,densenet121-res224-all,condition_1_original,3658676649,Edema,sex:female,fnr,0.14859437751004015
NIH,densenet121-res224-all,condition_1_original,3658676649,Edema,sex:male,fnr,0.18723404255319148
NIH,densenet121-res224-all,condition_1_original,3658676649,Edema,sex_gap:female-minus-male,fnr,-0.03863966504315133
NIH,densenet121-res224-all,condition_1_original,3658676649,Emphysema,sex:female,fnr,0.2345679012345679
NIH,densenet121-res224-all,condition_1_original,3658676649,Emphysema,sex:male,fnr,0.2197452229299363
NIH,densenet121-res224-all,condition_1_original,3658676649,Emphysema,sex_gap:female-minus-male,fnr,0.014822678304631576
NIH,densenet121-res224-all,condition_1_original,3658676649,Fibrosis,sex:female,fnr,0.3475609756097561
NIH,densenet121-res224-all,condition_1_original,3658676649,Fibrosis,sex:male,fnr,0.28415300546448086
NIH,densenet121-res224-all,condition_1_original,3658676649,Fibrosis,sex_gap:female-minus-male,fnr,0.06340797014527522
NIH,densenet121-res224-all,condition_1_original,3658676649,Effusion,sex:female,fnr,0.15431560592850915
NIH,densenet121-res224-all,condition_1_original,3658676649,Effusion,sex:male,fnr,0.18181818181818182
NIH,densenet121-res224-all,condition_1_original,3658676649,Effusion,sex_gap:female-minus-male,fnr,-0.02750257588967267
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumonia,sex:female,fnr,0.4636363636363636
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumonia,sex:male,fnr,0.3045977011494253
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumonia,sex_gap:female-minus-male,fnr,0.15903866248693832
NIH,densenet121-res224-all,condition_1_original,3658676649,Pleural_Thickening,sex:female,fnr,0.3633217993079585
NIH,densenet121-res224-all,condition_1_original,3658676649,Pleural_Thickening,sex:male,fnr,0.4020356234096692
NIH,densenet121-res224-all,condition_1_original,3658676649,Pleural_Thickening,sex_gap:female-minus-male,fnr,-0.0387138241017107
NIH,densenet121-res224-all,condition_1_original,3658676649,Cardiomegaly,sex:female,fnr,0.2830188679245283
NIH,densenet121-res224-all,condition_1_original,3658676649,Cardiomegaly,sex:male,fnr,0.21180555555555555
NIH,densenet121-res224-all,condition_1_original,3658676649,Cardiomegaly,sex_gap:female-minus-male,fnr,0.07121331236897274
NIH,densenet121-res224-all,condition_1_original,3658676649,Nodule,sex:female,fnr,0.6174496644295302
NIH,densenet121-res224-all,condition_1_original,3658676649,Nodule,sex:male,fnr,0.37467018469656993
NIH,densenet121-res224-all,condition_1_original,3658676649,Nodule,sex_gap:female-minus-male,fnr,0.24277947973296027
NIH,densenet121-res224-all,condition_1_original,3658676649,Mass,sex:female,fnr,0.36023054755043227
NIH,densenet121-res224-all,condition_1_original,3658676649,Mass,sex:male,fnr,0.20291616038882138
NIH,densenet121-res224-all,condition_1_original,3658676649,Mass,sex_gap:female-minus-male,fnr,0.1573143871616109
NIH,densenet121-res224-all,condition_1_original,3658676649,Hernia,sex:female,fnr,0.2
NIH,densenet121-res224-all,condition_1_original,3658676649,Hernia,sex:male,fnr,0.15789473684210525
NIH,densenet121-res224-all,condition_1_original,3658676649,Hernia,sex_gap:female-minus-male,fnr,0.04210526315789476
NIH,densenet121-res224-all,condition_1_original,3658676649,NIH_14_pooled,sex:female,fnr,0.3199940047961631
NIH,densenet121-res224-all,condition_1_original,3658676649,NIH_14_pooled,sex:male,fnr,0.28066355624676
NIH,densenet121-res224-all,condition_1_original,3658676649,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.039330448549403096
NIH,densenet121-res224-all,condition_1_original,768519171,Atelectasis,sex:female,fnr,0.20903954802259886
NIH,densenet121-res224-all,condition_1_original,768519171,Atelectasis,sex:male,fnr,0.2250562640660165
NIH,densenet121-res224-all,condition_1_original,768519171,Atelectasis,sex_gap:female-minus-male,fnr,-0.016016716043417645
NIH,densenet121-res224-all,condition_1_original,768519171,Consolidation,sex:female,fnr,0.18769230769230769
NIH,densenet121-res224-all,condition_1_original,768519171,Consolidation,sex:male,fnr,0.18376722817764166
NIH,densenet121-res224-all,condition_1_original,768519171,Consolidation,sex_gap:female-minus-male,fnr,0.00392507951466603
NIH,densenet121-res224-all,condition_1_original,768519171,Infiltration,sex:female,fnr,0.4862508383635144
NIH,densenet121-res224-all,condition_1_original,768519171,Infiltration,sex:male,fnr,0.47764402407566636
NIH,densenet121-res224-all,condition_1_original,768519171,Infiltration,sex_gap:female-minus-male,fnr,0.008606814287848041
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumothorax,sex:female,fnr,0.21263157894736842
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumothorax,sex:male,fnr,0.16312056737588654
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumothorax,sex_gap:female-minus-male,fnr,0.04951101157148188
NIH,densenet121-res224-all,condition_1_original,768519171,Edema,sex:female,fnr,0.19545454545454546
NIH,densenet121-res224-all,condition_1_original,768519171,Edema,sex:male,fnr,0.20948616600790515
NIH,densenet121-res224-all,condition_1_original,768519171,Edema,sex_gap:female-minus-male,fnr,-0.014031620553359686
NIH,densenet121-res224-all,condition_1_original,768519171,Emphysema,sex:female,fnr,0.24
NIH,densenet121-res224-all,condition_1_original,768519171,Emphysema,sex:male,fnr,0.15605095541401273
NIH,densenet121-res224-all,condition_1_original,768519171,Emphysema,sex_gap:female-minus-male,fnr,0.08394904458598726
NIH,densenet121-res224-all,condition_1_original,768519171,Fibrosis,sex:female,fnr,0.39285714285714285
NIH,densenet121-res224-all,condition_1_original,768519171,Fibrosis,sex:male,fnr,0.46496815286624205
NIH,densenet121-res224-all,condition_1_original,768519171,Fibrosis,sex_gap:female-minus-male,fnr,-0.0721110100090992
NIH,densenet121-res224-all,condition_1_original,768519171,Effusion,sex:female,fnr,0.16621004566210046
NIH,densenet121-res224-all,condition_1_original,768519171,Effusion,sex:male,fnr,0.17914267434420986
NIH,densenet121-res224-all,condition_1_original,768519171,Effusion,sex_gap:female-minus-male,fnr,-0.012932628682109398
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumonia,sex:female,fnr,0.32673267326732675
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumonia,sex:male,fnr,0.3333333333333333
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumonia,sex_gap:female-minus-male,fnr,-0.0066006600660065695
NIH,densenet121-res224-all,condition_1_original,768519171,Pleural_Thickening,sex:female,fnr,0.33962264150943394
NIH,densenet121-res224-all,condition_1_original,768519171,Pleural_Thickening,sex:male,fnr,0.3422982885085575
NIH,densenet121-res224-all,condition_1_original,768519171,Pleural_Thickening,sex_gap:female-minus-male,fnr,-0.0026756469991235377
NIH,densenet121-res224-all,condition_1_original,768519171,Cardiomegaly,sex:female,fnr,0.22962962962962963
NIH,densenet121-res224-all,condition_1_original,768519171,Cardiomegaly,sex:male,fnr,0.22924901185770752
NIH,densenet121-res224-all,condition_1_original,768519171,Cardiomegaly,sex_gap:female-minus-male,fnr,0.0003806177719221093
NIH,densenet121-res224-all,condition_1_original,768519171,Nodule,sex:female,fnr,0.5677290836653387
NIH,densenet121-res224-all,condition_1_original,768519171,Nodule,sex:male,fnr,0.40846994535519127
NIH,densenet121-res224-all,condition_1_original,768519171,Nodule,sex_gap:female-minus-male,fnr,0.15925913831014743
NIH,densenet121-res224-all,condition_1_original,768519171,Mass,sex:female,fnr,0.3691588785046729
NIH,densenet121-res224-all,condition_1_original,768519171,Mass,sex:male,fnr,0.2463768115942029
NIH,densenet121-res224-all,condition_1_original,768519171,Mass,sex_gap:female-minus-male,fnr,0.12278206691046997
NIH,densenet121-res224-all,condition_1_original,768519171,Hernia,sex:female,fnr,0.1724137931034483
NIH,densenet121-res224-all,condition_1_original,768519171,Hernia,sex:male,fnr,0.23529411764705882
NIH,densenet121-res224-all,condition_1_original,768519171,Hernia,sex_gap:female-minus-male,fnr,-0.06288032454361053
NIH,densenet121-res224-all,condition_1_original,768519171,NIH_14_pooled,sex:female,fnr,0.31666927042649584
NIH,densenet121-res224-all,condition_1_original,768519171,NIH_14_pooled,sex:male,fnr,0.2970328282828283
NIH,densenet121-res224-all,condition_1_original,768519171,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.019636442143667554
NIH,densenet121-res224-all,condition_1_original,113462462,Atelectasis,sex:female,fnr,0.20696937697993664
NIH,densenet121-res224-all,condition_1_original,113462462,Atelectasis,sex:male,fnr,0.22893165228931653
NIH,densenet121-res224-all,condition_1_original,113462462,Atelectasis,sex_gap:female-minus-male,fnr,-0.021962275309379886
NIH,densenet121-res224-all,condition_1_original,113462462,Consolidation,sex:female,fnr,0.21478060046189376
NIH,densenet121-res224-all,condition_1_original,113462462,Consolidation,sex:male,fnr,0.22592592592592592
NIH,densenet121-res224-all,condition_1_original,113462462,Consolidation,sex_gap:female-minus-male,fnr,-0.011145325464032158
NIH,densenet121-res224-all,condition_1_original,113462462,Infiltration,sex:female,fnr,0.42950236966824645
NIH,densenet121-res224-all,condition_1_original,113462462,Infiltration,sex:male,fnr,0.39387402933563415
NIH,densenet121-res224-all,condition_1_original,113462462,Infiltration,sex_gap:female-minus-male,fnr,0.03562834033261231
NIH,densenet121-res224-all,condition_1_original,113462462,Pneumothorax,sex:female,fnr,0.20566037735849058
NIH,densenet121-res224-all,condition_1_original,113462462,Pneumothorax,sex:male,fnr,0.13166666666666665
NIH,densenet121-res224-all,condition_1_original,113462462,Pneumothorax,sex_gap:female-minus-male,fnr,0.07399371069182392
NIH,densenet121-res224-all,condition_1_original,113462462,Edema,sex:female,fnr,0.12365591397849462
NIH,densenet121-res224-all,condition_1_original,113462462,Edema,sex:male,fnr,0.14112903225806453
NIH,densenet121-res224-all,condition_1_original,113462462,Edema,sex_gap:female-minus-male,fnr,-0.017473118279569905
NIH,densenet121-res224-all,condition_1_original,113462462,Emphysema,sex:female,fnr,0.1437908496732026
NIH,densenet121-res224-all,condition_1_original,113462462,Emphysema,sex:male,fnr,0.17955801104972377
NIH,densenet121-res224-all,condition_1_original,113462462,Emphysema,sex_gap:female-minus-male,fnr,-0.03576716137652117
NIH,densenet121-res224-all,condition_1_original,113462462,Fibrosis,sex:female,fnr,0.3055555555555556
NIH,densenet121-res224-all,condition_1_original,113462462,Fibrosis,sex:male,fnr,0.29245283018867924
NIH,densenet121-res224-all,condition_1_original,113462462,Fibrosis,sex_gap:female-minus-male,fnr,0.013102725366876344
NIH,densenet121-res224-all,condition_1_original,113462462,Effusion,sex:female,fnr,0.16747572815533981
NIH,densenet121-res224-all,condition_1_original,113462462,Effusion,sex:male,fnr,0.19101876675603216
NIH,densenet121-res224-all,condition_1_original,113462462,Effusion,sex_gap:female-minus-male,fnr,-0.023543038600692345
NIH,densenet121-res224-all,condition_1_original,113462462,Pneumonia,sex:female,fnr,0.3333333333333333
NIH,densenet121-res224-all,condition_1_original,113462462,Pneumonia,sex:male,fnr,0.3006134969325153
NIH,densenet121-res224-all,condition_1_original,113462462,Pneumonia,sex_gap:female-minus-male,fnr,0.03271983640081799
NIH,densenet121-res224-all,condition_1_original,113462462,Pleural_Thickening,sex:female,fnr,0.3576158940397351
NIH,densenet121-res224-all,condition_1_original,113462462,Pleural_Thickening,sex:male,fnr,0.3112244897959184
NIH,densenet121-res224-all,condition_1_original,113462462,Pleural_Thickening,sex_gap:female-minus-male,fnr,0.046391404243816714
NIH,densenet121-res224-all,condition_1_original,113462462,Cardiomegaly,sex:female,fnr,0.20577617328519857
NIH,densenet121-res224-all,condition_1_original,113462462,Cardiomegaly,sex:male,fnr,0.27906976744186046
NIH,densenet121-res224-all,condition_1_original,113462462,Cardiomegaly,sex_gap:female-minus-male,fnr,-0.0732935941566619
NIH,densenet121-res224-all,condition_1_original,113462462,Nodule,sex:female,fnr,0.5066666666666667
NIH,densenet121-res224-all,condition_1_original,113462462,Nodule,sex:male,fnr,0.38223938223938225
NIH,densenet121-res224-all,condition_1_original,113462462,Nodule,sex_gap:female-minus-male,fnr,0.12442728442728446
NIH,densenet121-res224-all,condition_1_original,113462462,Mass,sex:female,fnr,0.3409090909090909
NIH,densenet121-res224-all,condition_1_original,113462462,Mass,sex:male,fnr,0.25188536953242835
NIH,densenet121-res224-all,condition_1_original,113462462,Mass,sex_gap:female-minus-male,fnr,0.08902372137666253
NIH,densenet121-res224-all,condition_1_original,113462462,Hernia,sex:female,fnr,0.2
NIH,densenet121-res224-all,condition_1_original,113462462,Hernia,sex:male,fnr,0.47619047619047616
NIH,densenet121-res224-all,condition_1_original,113462462,Hernia,sex_gap:female-minus-male,fnr,-0.27619047619047615
NIH,densenet121-res224-all,condition_1_original,113462462,NIH_14_pooled,sex:female,fnr,0.2917737789203085
NIH,densenet121-res224-all,condition_1_original,113462462,NIH_14_pooled,sex:male,fnr,0.27455310199789695
NIH,densenet121-res224-all,condition_1_original,113462462,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.017220676922411526
NIH,densenet121-res224-all,condition_1_original,2748406118,Atelectasis,sex:female,fnr,0.22994011976047904
NIH,densenet121-res224-all,condition_1_original,2748406118,Atelectasis,sex:male,fnr,0.22048997772828507
NIH,densenet121-res224-all,condition_1_original,2748406118,Atelectasis,sex_gap:female-minus-male,fnr,0.009450142032193964
NIH,densenet121-res224-all,condition_1_original,2748406118,Consolidation,sex:female,fnr,0.15853658536585366
NIH,densenet121-res224-all,condition_1_original,2748406118,Consolidation,sex:male,fnr,0.16666666666666666
NIH,densenet121-res224-all,condition_1_original,2748406118,Consolidation,sex_gap:female-minus-male,fnr,-0.008130081300812997
NIH,densenet121-res224-all,condition_1_original,2748406118,Infiltration,sex:female,fnr,0.46001202645820805
NIH,densenet121-res224-all,condition_1_original,2748406118,Infiltration,sex:male,fnr,0.43343653250773995
NIH,densenet121-res224-all,condition_1_original,2748406118,Infiltration,sex_gap:female-minus-male,fnr,0.0265754939504681
NIH,densenet121-res224-all,condition_1_original,2748406118,Pneumothorax,sex:female,fnr,0.19659735349716445
NIH,densenet121-res224-all,condition_1_original,2748406118,Pneumothorax,sex:male,fnr,0.14202334630350194
