dataset,backbone,condition,split_seed,finding,subgroup,metric,value,ci_lower,ci_upper
NIH,densenet121-res224-all,condition_2_agestd_match,3658676649.0,NIH_14_pooled,sex:female,fnr,0.5026178010471204,,
NIH,densenet121-res224-all,condition_2_agestd_match,3658676649.0,NIH_14_pooled,sex:male,fnr,0.49401534461058444,,
NIH,densenet121-res224-all,condition_2_agestd_match,3658676649.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.008602456436535955,-0.035612628691348826,0.04643835489469298
NIH,densenet121-res224-all,condition_2_agestd_match,3658676649.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.009747218755591258,0.0026189887095342222,0.01795390136272834
NIH,densenet121-res224-all,condition_3_agestd_ipw,3658676649.0,NIH_14_pooled,sex:female,fnr,0.49888683195758265,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,3658676649.0,NIH_14_pooled,sex:male,fnr,0.48916511117242367,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,3658676649.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.009721720785158983,-0.03346771735711946,0.04882859634422317
NIH,densenet121-res224-all,condition_3_agestd_ipw,3658676649.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.00862795440696823,0.004738498160160259,0.012516322268098661
NIH,densenet121-res224-all,condition_2_agestd_match,768519171.0,NIH_14_pooled,sex:female,fnr,0.5038975224194514,,
NIH,densenet121-res224-all,condition_2_agestd_match,768519171.0,NIH_14_pooled,sex:male,fnr,0.5088421019021124,,
NIH,densenet121-res224-all,condition_2_agestd_match,768519171.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,-0.004944579482661027,-0.04965702598778233,0.038734171029667454
NIH,densenet121-res224-all,condition_2_agestd_match,768519171.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.01041862306583441,0.0036881815525452127,0.019942321835805736
NIH,densenet121-res224-all,condition_3_agestd_ipw,768519171.0,NIH_14_pooled,sex:female,fnr,0.4997921250581794,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,768519171.0,NIH_14_pooled,sex:male,fnr,0.5041697566555575,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,768519171.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,-0.00437763159737814,-0.047003443712152634,0.038871077388512774
NIH,densenet121-res224-all,condition_3_agestd_ipw,768519171.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.009851675180551522,0.004763724445426293,0.015125051354494904
NIH,densenet121-res224-all,condition_2_agestd_match,113462462.0,NIH_14_pooled,sex:female,fnr,0.5124078061010351,,
NIH,densenet121-res224-all,condition_2_agestd_match,113462462.0,NIH_14_pooled,sex:male,fnr,0.46051303440653535,,
NIH,densenet121-res224-all,condition_2_agestd_match,113462462.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.05189477169449974,0.0077575466566090386,0.09488396610408013
NIH,densenet121-res224-all,condition_2_agestd_match,113462462.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.009353772804703842,0.002077521036974826,0.017984438485408507
NIH,densenet121-res224-all,condition_3_agestd_ipw,113462462.0,NIH_14_pooled,sex:female,fnr,0.5058547266811996,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,113462462.0,NIH_14_pooled,sex:male,fnr,0.4559259169664765,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,113462462.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.04992880971472308,0.007052807046908392,0.09336776164347936
NIH,densenet121-res224-all,condition_3_agestd_ipw,113462462.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.011319734784480506,0.006819402362889542,0.015818427232772776
NIH,densenet121-res224-all,condition_2_agestd_match,2748406118.0,NIH_14_pooled,sex:female,fnr,0.5407493529353999,,
NIH,densenet121-res224-all,condition_2_agestd_match,2748406118.0,NIH_14_pooled,sex:male,fnr,0.48750211968685264,,
NIH,densenet121-res224-all,condition_2_agestd_match,2748406118.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.0532472332485473,0.013005599165293116,0.09682591493912414
NIH,densenet121-res224-all,condition_2_agestd_match,2748406118.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.0069480087592488915,-1.6568792977979004e-05,0.013294180980370695
NIH,densenet121-res224-all,condition_3_agestd_ipw,2748406118.0,NIH_14_pooled,sex:female,fnr,0.5371082146894788,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,2748406118.0,NIH_14_pooled,sex:male,fnr,0.4838637869145221,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,2748406118.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.05324442777495669,0.013597321709257452,0.09665756641853207
NIH,densenet121-res224-all,condition_3_agestd_ipw,2748406118.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.006950814232839497,0.004272716520933464,0.009606404213759558
NIH,densenet121-res224-all,condition_2_agestd_match,1569714665.0,NIH_14_pooled,sex:female,fnr,0.5093280056653594,,
NIH,densenet121-res224-all,condition_2_agestd_match,1569714665.0,NIH_14_pooled,sex:male,fnr,0.5156358344707851,,
NIH,densenet121-res224-all,condition_2_agestd_match,1569714665.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,-0.006307828805425686,-0.05056567627708923,0.03599554128868913
NIH,densenet121-res224-all,condition_2_agestd_match,1569714665.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.012236599165793671,0.006286197481277588,0.020347937605663273
NIH,densenet121-res224-all,condition_3_agestd_ipw,1569714665.0,NIH_14_pooled,sex:female,fnr,0.5070191063954903,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,1569714665.0,NIH_14_pooled,sex:male,fnr,0.5102121005926926,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,1569714665.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,-0.0031929941972023146,-0.04671641552826088,0.03999911854933881
NIH,densenet121-res224-all,condition_3_agestd_ipw,1569714665.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.0091217645575703,0.005347830321521968,0.012674234755411334
NIH,densenet121-res224-all,condition_2_agestd_match,2006902500.0,NIH_14_pooled,sex:female,fnr,0.5190403678815868,,
NIH,densenet121-res224-all,condition_2_agestd_match,2006902500.0,NIH_14_pooled,sex:male,fnr,0.521225095249843,,
NIH,densenet121-res224-all,condition_2_agestd_match,2006902500.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,-0.0021847273682561452,-0.04409252916119434,0.04198869554684778
NIH,densenet121-res224-all,condition_2_agestd_match,2006902500.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.010077558989803781,0.003692717052139951,0.017748359266019465
NIH,densenet121-res224-all,condition_3_agestd_ipw,2006902500.0,NIH_14_pooled,sex:female,fnr,0.511113614076647,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,2006902500.0,NIH_14_pooled,sex:male,fnr,0.516139839286184,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,2006902500.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,-0.005026225209536994,-0.04710606486892,0.0417498274316124
NIH,densenet121-res224-all,condition_3_agestd_ipw,2006902500.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.01291905683108463,0.008571853596068903,0.017418191139421262
NIH,densenet121-res224-all,condition_2_agestd_match,342858866.0,NIH_14_pooled,sex:female,fnr,0.5026698228456413,,
NIH,densenet121-res224-all,condition_2_agestd_match,342858866.0,NIH_14_pooled,sex:male,fnr,0.4977182039891994,,
NIH,densenet121-res224-all,condition_2_agestd_match,342858866.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.004951618856441908,-0.03460157254061436,0.048142614350169824
NIH,densenet121-res224-all,condition_2_agestd_match,342858866.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.01185491607487521,0.003710627758601323,0.020373501934996038
NIH,densenet121-res224-all,condition_3_agestd_ipw,342858866.0,NIH_14_pooled,sex:female,fnr,0.49618803370972814,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,342858866.0,NIH_14_pooled,sex:male,fnr,0.49193429983666304,,
NIH,densenet121-res224-all,condition_3_agestd_ipw,342858866.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.004253733873065102,-0.034202129816958186,0.04751647283816899
NIH,densenet121-res224-all,condition_3_agestd_ipw,342858866.0,NIH_14_pooled,sex_gap:female-minus-male,fnr_gap_reduction,0.012552801058252017,0.008083864690181325,0.016677353714856437
NIH,densenet121-res224-all,condition_2_agestd_match,1591287646.0,NIH_14_pooled,sex:female,fnr,0.4760273972602739,,
NIH,densenet121-res224-all,condition_2_agestd_match,1591287646.0,NIH_14_pooled,sex:male,fnr,0.49511645321223796,,
NIH,densenet121-res224-all,condition_2_agestd_match,1591287646.0,NIH_14_pooled,sex_gap:female-minus-male,fnr,-0.019089055951964085,-0.06253676789914683,0.02506258056315783
