bin_width,finding,sex,cells,sparse_cells,zero_cells,minimum_positive_cases
5,Atelectasis,F,189,135,32,0
5,Atelectasis,M,189,107,14,0
5,Cardiomegaly,F,189,149,35,0
5,Cardiomegaly,M,189,185,31,0
5,Consolidation,F,189,189,61,0
5,Consolidation,M,189,188,27,0
5,Edema,F,189,189,130,0
5,Edema,M,189,189,109,0
5,Effusion,F,189,137,37,0
5,Effusion,M,189,128,23,0
5,Emphysema,F,189,189,96,0
5,Emphysema,M,189,187,78,0
5,Fibrosis,F,189,181,70,0
5,Fibrosis,M,189,180,47,0
5,Hernia,F,189,189,132,0
5,Hernia,M,189,189,139,0
5,Infiltration,F,189,77,7,0
5,Infiltration,M,189,64,15,0
5,Mass,F,189,144,38,0
5,Mass,M,189,117,24,0
5,Nodule,F,189,126,43,0
5,Nodule,M,189,122,25,0
5,Pleural_Thickening,F,189,173,50,0
5,Pleural_Thickening,M,189,157,44,0
5,Pneumonia,F,189,189,95,0
5,Pneumonia,M,189,189,66,0
5,Pneumothorax,F,189,189,73,0
5,Pneumothorax,M,189,189,66,0
10,Atelectasis,F,99,50,9,0
10,Atelectasis,M,99,40,7,0
10,Cardiomegaly,F,99,54,13,0
10,Cardiomegaly,M,99,71,16,0
10,Consolidation,F,99,88,21,0
10,Consolidation,M,99,86,7,0
10,Edema,F,99,99,47,0
10,Edema,M,99,99,40,0
10,Effusion,F,99,49,14,0
10,Effusion,M,99,44,12,0
10,Emphysema,F,99,98,40,0
10,Emphysema,M,99,85,31,0
10,Fibrosis,F,99,71,32,0
10,Fibrosis,M,99,67,16,0
10,Hernia,F,99,99,57,0
10,Hernia,M,99,99,61,0
10,Infiltration,F,99,29,6,0
10,Infiltration,M,99,21,9,0
10,Mass,F,99,54,15,0
10,Mass,M,99,41,10,0
10,Nodule,F,99,50,21,0
10,Nodule,M,99,42,8,0
10,Pleural_Thickening,F,99,68,19,0
10,Pleural_Thickening,M,99,64,20,0
10,Pneumonia,F,99,99,33,0
10,Pneumonia,M,99,99,18,0
10,Pneumothorax,F,99,94,32,0
10,Pneumothorax,M,99,99,20,0
