dataset,backbone,condition,split_seed,finding,subgroup,metric,value
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:female,fnr,0.4715447154471545
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:male,fnr,0.3556701030927835
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex_gap:female-minus-male,fnr,0.11587461235437096
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:female,fnr,0.47368421052631576
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:male,fnr,0.5
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex_gap:female-minus-male,fnr,-0.026315789473684237
NIH,densenet121-res224-all,condition_1_original,3658676649,Infiltration,sex:female,fnr,0.7260726072607261
NIH,densenet121-res224-all,condition_1_original,3658676649,Infiltration,sex:male,fnr,0.7096774193548387
NIH,densenet121-res224-all,condition_1_original,3658676649,Infiltration,sex_gap:female-minus-male,fnr,0.016395187905887343
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumothorax,sex:female,fnr,0.4222222222222222
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumothorax,sex:male,fnr,0.35
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumothorax,sex_gap:female-minus-male,fnr,0.07222222222222224
NIH,densenet121-res224-all,condition_1_original,3658676649,Edema,sex:female,fnr,0.0
NIH,densenet121-res224-all,condition_1_original,3658676649,Edema,sex:male,fnr,0.6
NIH,densenet121-res224-all,condition_1_original,3658676649,Edema,sex_gap:female-minus-male,fnr,-0.6
NIH,densenet121-res224-all,condition_1_original,3658676649,Emphysema,sex:female,fnr,0.05
NIH,densenet121-res224-all,condition_1_original,3658676649,Emphysema,sex:male,fnr,0.125
NIH,densenet121-res224-all,condition_1_original,3658676649,Emphysema,sex_gap:female-minus-male,fnr,-0.075
NIH,densenet121-res224-all,condition_1_original,3658676649,Fibrosis,sex:female,fnr,0.3333333333333333
NIH,densenet121-res224-all,condition_1_original,3658676649,Fibrosis,sex:male,fnr,0.25757575757575757
NIH,densenet121-res224-all,condition_1_original,3658676649,Fibrosis,sex_gap:female-minus-male,fnr,0.07575757575757575
NIH,densenet121-res224-all,condition_1_original,3658676649,Effusion,sex:female,fnr,0.2894736842105263
NIH,densenet121-res224-all,condition_1_original,3658676649,Effusion,sex:male,fnr,0.37142857142857144
NIH,densenet121-res224-all,condition_1_original,3658676649,Effusion,sex_gap:female-minus-male,fnr,-0.08195488721804511
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumonia,sex:female,fnr,0.6666666666666666
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumonia,sex:male,fnr,0.5789473684210527
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumonia,sex_gap:female-minus-male,fnr,0.08771929824561397
NIH,densenet121-res224-all,condition_1_original,3658676649,Pleural_Thickening,sex:female,fnr,0.4492753623188406
NIH,densenet121-res224-all,condition_1_original,3658676649,Pleural_Thickening,sex:male,fnr,0.5
NIH,densenet121-res224-all,condition_1_original,3658676649,Pleural_Thickening,sex_gap:female-minus-male,fnr,-0.050724637681159424
NIH,densenet121-res224-all,condition_1_original,3658676649,Cardiomegaly,sex:female,fnr,0.25961538461538464
NIH,densenet121-res224-all,condition_1_original,3658676649,Cardiomegaly,sex:male,fnr,0.234375
NIH,densenet121-res224-all,condition_1_original,3658676649,Cardiomegaly,sex_gap:female-minus-male,fnr,0.025240384615384637
NIH,densenet121-res224-all,condition_1_original,3658676649,Nodule,sex:female,fnr,0.7226277372262774
NIH,densenet121-res224-all,condition_1_original,3658676649,Nodule,sex:male,fnr,0.5459770114942529
NIH,densenet121-res224-all,condition_1_original,3658676649,Nodule,sex_gap:female-minus-male,fnr,0.17665072573202445
NIH,densenet121-res224-all,condition_1_original,3658676649,Mass,sex:female,fnr,0.36
NIH,densenet121-res224-all,condition_1_original,3658676649,Mass,sex:male,fnr,0.3231707317073171
NIH,densenet121-res224-all,condition_1_original,3658676649,Mass,sex_gap:female-minus-male,fnr,0.036829268292682904
NIH,densenet121-res224-all,condition_1_original,3658676649,Hernia,sex:female,fnr,0.0
NIH,densenet121-res224-all,condition_1_original,3658676649,Hernia,sex:male,fnr,0.2857142857142857
NIH,densenet121-res224-all,condition_1_original,3658676649,Hernia,sex_gap:female-minus-male,fnr,-0.2857142857142857
NIH,densenet121-res224-all,condition_1_original,3658676649,NIH_14_pooled,sex:female,fnr,0.5026178010471204
NIH,densenet121-res224-all,condition_1_original,3658676649,NIH_14_pooled,sex:male,fnr,0.4842681258549932
NIH,densenet121-res224-all,condition_1_original,3658676649,NIH_14_pooled,sex_gap:female-minus-male,fnr,0.018349675192127213
NIH,densenet121-res224-all,condition_1_original,768519171,Atelectasis,sex:female,fnr,0.3769230769230769
NIH,densenet121-res224-all,condition_1_original,768519171,Atelectasis,sex:male,fnr,0.40476190476190477
NIH,densenet121-res224-all,condition_1_original,768519171,Atelectasis,sex_gap:female-minus-male,fnr,-0.02783882783882785
NIH,densenet121-res224-all,condition_1_original,768519171,Consolidation,sex:female,fnr,0.6
NIH,densenet121-res224-all,condition_1_original,768519171,Consolidation,sex:male,fnr,0.576271186440678
NIH,densenet121-res224-all,condition_1_original,768519171,Consolidation,sex_gap:female-minus-male,fnr,0.023728813559321993
NIH,densenet121-res224-all,condition_1_original,768519171,Infiltration,sex:female,fnr,0.7766666666666666
NIH,densenet121-res224-all,condition_1_original,768519171,Infiltration,sex:male,fnr,0.7242206235011991
NIH,densenet121-res224-all,condition_1_original,768519171,Infiltration,sex_gap:female-minus-male,fnr,0.052446043165467526
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumothorax,sex:female,fnr,0.4
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumothorax,sex:male,fnr,0.3
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumothorax,sex_gap:female-minus-male,fnr,0.10000000000000003
NIH,densenet121-res224-all,condition_1_original,768519171,Edema,sex:female,fnr,0.25
NIH,densenet121-res224-all,condition_1_original,768519171,Edema,sex:male,fnr,0.4
NIH,densenet121-res224-all,condition_1_original,768519171,Edema,sex_gap:female-minus-male,fnr,-0.15000000000000002
NIH,densenet121-res224-all,condition_1_original,768519171,Emphysema,sex:female,fnr,0.1875
NIH,densenet121-res224-all,condition_1_original,768519171,Emphysema,sex:male,fnr,0.13793103448275862
NIH,densenet121-res224-all,condition_1_original,768519171,Emphysema,sex_gap:female-minus-male,fnr,0.04956896551724138
NIH,densenet121-res224-all,condition_1_original,768519171,Fibrosis,sex:female,fnr,0.4666666666666667
NIH,densenet121-res224-all,condition_1_original,768519171,Fibrosis,sex:male,fnr,0.4918032786885246
NIH,densenet121-res224-all,condition_1_original,768519171,Fibrosis,sex_gap:female-minus-male,fnr,-0.025136612021857907
NIH,densenet121-res224-all,condition_1_original,768519171,Effusion,sex:female,fnr,0.2196969696969697
NIH,densenet121-res224-all,condition_1_original,768519171,Effusion,sex:male,fnr,0.3442622950819672
NIH,densenet121-res224-all,condition_1_original,768519171,Effusion,sex_gap:female-minus-male,fnr,-0.12456532538499751
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumonia,sex:female,fnr,0.5
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumonia,sex:male,fnr,0.6666666666666666
NIH,densenet121-res224-all,condition_1_original,768519171,Pneumonia,sex_gap:female-minus-male,fnr,-0.16666666666666663
NIH,densenet121-res224-all,condition_1_original,768519171,Pleural_Thickening,sex:female,fnr,0.48214285714285715
NIH,densenet121-res224-all,condition_1_original,768519171,Pleural_Thickening,sex:male,fnr,0.41975308641975306
NIH,densenet121-res224-all,condition_1_original,768519171,Pleural_Thickening,sex_gap:female-minus-male,fnr,0.06238977072310409
NIH,densenet121-res224-all,condition_1_original,768519171,Cardiomegaly,sex:female,fnr,0.21505376344086022
NIH,densenet121-res224-all,condition_1_original,768519171,Cardiomegaly,sex:male,fnr,0.23728813559322035
NIH,densenet121-res224-all,condition_1_original,768519171,Cardiomegaly,sex_gap:female-minus-male,fnr,-0.022234372152360127
