dataset,backbone,condition,split_seed,finding,subgroup,metric,value,ci_lower,ci_upper
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:female,fnr,0.4715447154471545,0.38095238095238093,0.5556451612903226
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:male,fnr,0.3556701030927835,0.28774591776509945,0.41849089989888777
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex_gap:female-minus-male,fnr,0.11587461235437096,0.00733158802449629,0.23094235965459248
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:female,fnr,0.47368421052631576,0.3023255813953488,0.6388888888888888
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex:male,fnr,0.5,0.3554166666666667,0.641644204851752
NIH,densenet121-res224-all,condition_1_original,3658676649,Consolidation,sex_gap:female-minus-male,fnr,-0.026315789473684237,-0.24813336553798915,0.18751082251082252
NIH,densenet121-res224-all,condition_1_original,3658676649,Infiltration,sex:female,fnr,0.7260726072607261,0.6727019322141273,0.7746076458752515
NIH,densenet121-res224-all,condition_1_original,3658676649,Infiltration,sex:male,fnr,0.7096774193548387,0.6651129647019831,0.7551067108765702
NIH,densenet121-res224-all,condition_1_original,3658676649,Infiltration,sex_gap:female-minus-male,fnr,0.016395187905887343,-0.05105560954473589,0.08399285522284976
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumothorax,sex:female,fnr,0.4222222222222222,0.27894056847545223,0.5652173913043478
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumothorax,sex:male,fnr,0.35,0.14981481481481485,0.5789473684210527
NIH,densenet121-res224-all,condition_1_original,3658676649,Pneumothorax,sex_gap:female-minus-male,fnr,0.07222222222222224,-0.18152161449375062,0.32055454065684247
NIH,densenet121-res224-all,condition_1_original,3658676649,Edema,sex:female,fnr,0.0,0.0,0.0
NIH,densenet121-res224-all,condition_1_original,3658676649,Edema,sex:male,fnr,0.6,0.2994117647058825,0.9
NIH,densenet121-res224-all,condition_1_original,3658676649,Edema,sex_gap:female-minus-male,fnr,-0.6,-0.9,-0.2994117647058822
NIH,densenet121-res224-all,condition_1_original,3658676649,Emphysema,sex:female,fnr,0.05,0.0,0.16066666666666682
NIH,densenet121-res224-all,condition_1_original,3658676649,Emphysema,sex:male,fnr,0.125,0.027777777777777776,0.24242424242424243
