finding,split_seed,adjustment_method,n_patients,n_female,n_male,delta_s,p_value,q_value,reject_bh,n_resamples,n_valid_permutations,n_invalid_permutations,exceedances,permutation_seed
Atelectasis,3658676649,ipw,6158,2789,3369,0.009825525041810002,0.033396660333966606,0.15048495150484953,False,10000,10000,0,333,660775338
Consolidation,3658676649,ipw,6158,2789,3369,0.006113695298004707,0.5076492350764924,0.7307269273072693,False,10000,10000,0,5076,660775338
Infiltration,3658676649,ipw,6158,2789,3369,0.006806844006046142,0.012398760123987601,0.0867913208679132,False,10000,10000,0,123,660775338
Pneumothorax,3658676649,ipw,6158,2789,3369,0.012113014058433902,0.2675732426757324,0.6565343465653434,False,10000,10000,0,2675,660775338
Edema,3658676649,ipw,6158,2789,3369,-0.009669913994071244,0.691030896910309,0.7441871197495634,False,10000,10000,0,6910,660775338
Emphysema,3658676649,ipw,6158,2789,3369,0.005946858822119497,0.3591640835916408,0.7183281671832816,False,10000,10000,0,3591,660775338
Fibrosis,3658676649,ipw,6158,2789,3369,0.018489683245893285,0.006799320067993201,0.0867913208679132,False,10000,10000,0,67,660775338
Effusion,3658676649,ipw,6158,2789,3369,0.005436321131801203,0.2813718628137186,0.6565343465653434,False,10000,10000,0,2813,660775338
Pneumonia,3658676649,ipw,6158,2789,3369,0.007505039838459293,0.6101389861013898,0.7307269273072693,False,10000,10000,0,6101,660775338
Pleural_Thickening,3658676649,ipw,6158,2789,3369,0.00014905398702197425,0.9829017098290171,0.9829017098290171,False,10000,10000,0,9829,660775338
Cardiomegaly,3658676649,ipw,6158,2789,3369,0.012046147746621383,0.042995700429957005,0.15048495150484953,False,10000,10000,0,429,660775338
Nodule,3658676649,ipw,6158,2789,3369,-0.0022198456290346558,0.6263373662633737,0.7307269273072693,False,10000,10000,0,6263,660775338
Mass,3658676649,ipw,6158,2789,3369,0.002572926797644981,0.5718428157184282,0.7307269273072693,False,10000,10000,0,5718,660775338
Hernia,3658676649,ipw,6158,2789,3369,0.019529328133756685,0.4636782069241545,0.7307269273072693,False,10000,9993,7,4633,660775338
Atelectasis,768519171,ipw,6160,2789,3371,0.010761539033549594,0.0817918208179182,0.2021047895210479,False,10000,10000,0,817,970040079
Consolidation,768519171,ipw,6160,2789,3371,0.014826872711958039,0.11548845115488451,0.2021047895210479,False,10000,10000,0,1154,970040079
Infiltration,768519171,ipw,6160,2789,3371,0.009257216232369747,0.007999200079992,0.05599440055994401,False,10000,10000,0,79,970040079
Pneumothorax,768519171,ipw,6160,2789,3371,0.01849587390565216,0.1065893410658934,0.2021047895210479,False,10000,10000,0,1065,970040079
