dataset,backbone,condition,split_seed,finding,subgroup,metric,value
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,overall,auroc,0.7628159215274856
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,overall,auprc,0.2465456083937578
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,overall,f1,0.2999221655279772
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,overall,sensitivity,0.7628684557853057
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,overall,specificity,0.6262366442421844
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,overall,brier_score,0.08406355550409314
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,overall,expected_calibration_error,0.02641485379931084
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:female,auroc,0.7711837021930518
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:female,auprc,0.25799798231081006
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:female,f1,0.29901031796167615
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:female,sensitivity,0.7626208378088077
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:female,specificity,0.6354679802955665
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:female,brier_score,0.08144922063040437
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:female,expected_calibration_error,0.02559088256102275
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:male,auroc,0.7566261239496735
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:male,auprc,0.2406684227782993
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:male,f1,0.3005576753742295
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:male,sensitivity,0.7630402384500745
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:male,specificity,0.6195038494439692
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:male,brier_score,0.08596071364562743
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,sex:male,expected_calibration_error,0.027455950347624176
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:00-04,auroc,0.9029850746268657
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:00-04,auprc,0.6398809523809523
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:00-04,f1,0.5454545454545454
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:00-04,sensitivity,0.75
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:00-04,specificity,0.9402985074626866
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:00-04,brier_score,0.04546480271455645
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:00-04,expected_calibration_error,0.039753555713719885
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:05-09,auroc,0.7092528451261751
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:05-09,auprc,0.27514764792024166
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:05-09,f1,0.30434782608695654
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:05-09,sensitivity,0.32558139534883723
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:05-09,specificity,0.851063829787234
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:05-09,brier_score,0.1391669635163013
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:05-09,expected_calibration_error,0.11825595892077603
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:10-14,auroc,0.8631832797427653
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:10-14,auprc,0.22022104519403035
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:10-14,f1,0.3333333333333333
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:10-14,sensitivity,0.55
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:10-14,specificity,0.887459807073955
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:10-14,brier_score,0.05457749815287625
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:10-14,expected_calibration_error,0.03486703100818768
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:15-19,auroc,0.8368908165704724
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:15-19,auprc,0.2571496590712694
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:15-19,f1,0.32432432432432434
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:15-19,sensitivity,0.6382978723404256
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:15-19,specificity,0.826645264847512
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:15-19,brier_score,0.05974093507484488
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:15-19,expected_calibration_error,0.030002141994734312
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:20-24,auroc,0.7931030512377663
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:20-24,auprc,0.17007330696079045
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:20-24,f1,0.23471882640586797
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:20-24,sensitivity,0.64
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:20-24,specificity,0.7530224525043178
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:20-24,brier_score,0.05426501320961806
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:20-24,expected_calibration_error,0.018758347053495522
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,auroc,0.7602089268755935
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,auprc,0.17286855351737176
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,f1,0.23423423423423423
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,sensitivity,0.6419753086419753
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,specificity,0.7454991816693944
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,brier_score,0.05545420362935963
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:25-29,expected_calibration_error,0.017582672810576114
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,auroc,0.7531154767813589
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,auprc,0.14722599676742582
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,f1,0.20802377414561665
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,sensitivity,0.6422018348623854
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,specificity,0.7126236183827807
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,brier_score,0.05413827641332006
NIH,densenet121-res224-all,condition_1_original,3658676649,Atelectasis,age:30-34,expected_calibration_error,0.01309552464887851
