dataset,backbone,condition,split_seed,finding,subgroup,metric,value
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,overall,auroc,0.8070065896681843
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,overall,auprc,0.19477748595669966
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,overall,f1,0.23907667879878283
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,overall,sensitivity,0.5976575161583672
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,overall,specificity,0.8160065161096849
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,overall,brier_score,0.04492174801400993
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,overall,expected_calibration_error,0.010770856465246385
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:female,auroc,0.799840912976941
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:female,auprc,0.17405757187739657
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:female,f1,0.20318999201473412
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:female,sensitivity,0.5337286091432221
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:female,specificity,0.8247630951835649
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:female,brier_score,0.04011902680160492
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:female,expected_calibration_error,0.009120652296639251
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:male,auroc,0.8111650763744935
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:male,auprc,0.21576929290386576
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:male,f1,0.2647807416272798
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:male,sensitivity,0.6397776964557829
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:male,specificity,0.8086673984166891
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:male,brier_score,0.048898355687677655
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,sex:male,expected_calibration_error,0.014087004536861661
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:00-09,auroc,0.8178932007255432
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:00-09,auprc,0.2976746898897434
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:00-09,f1,0.3074674785237742
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:00-09,sensitivity,0.41365750967838083
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:00-09,specificity,0.9079247020105911
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:00-09,brier_score,0.05978639853946636
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:00-09,expected_calibration_error,0.04708459329442374
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:10-19,auroc,0.9155624990667433
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:10-19,auprc,0.37609431279076644
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:10-19,f1,0.21477876929155693
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:10-19,sensitivity,0.5
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:10-19,specificity,0.9331010254540659
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:10-19,brier_score,0.018014129989590805
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:10-19,expected_calibration_error,0.002730393368635614
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:20-29,auroc,0.8441455364475046
NIH,densenet121-res224-all,condition_2_age_standardized,3658676649,Atelectasis,age:20-29,auprc,0.13065185912804658
